Local bytes written,COUNTERS,Combine output records,Combine input records,TRACKER_NAME,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,TASK_STATUS,TASKID,Map input bytes,STATE_STRING,Map output records
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138301958,13291,1307525438302,1307525465399,,attempt_201106081729_0001_m_000000_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000000,138654786,hdfs://sr212:9000/user/lyan/rand10/part-00041:1207959552+138665017,13291
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138308531,13195,1307525434832,1307525441283,,attempt_201106081729_0001_m_000001_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000001,138659771,hdfs://sr212:9000/user/lyan/rand10/part-00055:1207959552+138664477,13195
,1,0,0,tracker_sr215:localhost\.localdomain/127\.0\.0\.1:49202,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295212,13170,1307525438266,1307525452759,,attempt_201106081729_0001_m_000002_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000002,138645432,hdfs://sr212:9000/user/lyan/rand10/part-00021:1207959552+138661891,13170
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138300993,13239,1307525434885,1307525446487,,attempt_201106081729_0001_m_000003_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000003,138652905,hdfs://sr212:9000/user/lyan/rand10/part-00015:1207959552+138661137,13239
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138303716,13248,1307525434942,1307525443695,,attempt_201106081729_0001_m_000004_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000004,138656020,hdfs://sr212:9000/user/lyan/rand10/part-00031:1207959552+138659488,13248
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293123,13119,1307525438355,1307525452535,,attempt_201106081729_0001_m_000005_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000005,138642815,hdfs://sr212:9000/user/lyan/rand10/part-00013:1207959552+138657274,13119
,1,0,0,tracker_sr215:localhost\.localdomain/127\.0\.0\.1:49202,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138299377,13175,1307525438309,1307525454654,,attempt_201106081729_0001_m_000006_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000006,138649557,hdfs://sr212:9000/user/lyan/rand10/part-00045:1207959552+138656594,13175
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138296306,13232,1307525434982,1307525443513,,attempt_201106081729_0001_m_000007_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000007,138647762,hdfs://sr212:9000/user/lyan/rand10/part-00004:1207959552+138655588,13232
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138292255,13247,1307525435020,1307525443633,,attempt_201106081729_0001_m_000008_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000008,138644071,hdfs://sr212:9000/user/lyan/rand10/part-00018:1207959552+138655496,13247
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138290617,13172,1307525435094,1307525463670,,attempt_201106081729_0001_m_000009_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000009,138641933,hdfs://sr212:9000/user/lyan/rand10/part-00016:1207959552+138655424,13172
