Local bytes written,COUNTERS,Combine output records,Combine input records,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,SPLITS,ctags,TASK_STATUS,TASK_TYPE,Map input bytes,Map output records
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138301958,13291,1307525437686,1307525469047,,task_201106081729_0001_m_000000,/default-rack/sr216;/default-rack/sr215;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138654786,13291
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138308531,13195,1307525434775,1307525443821,,task_201106081729_0001_m_000001,/default-rack/sr219;/default-rack/sr217;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,138659771,13195
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295212,13170,1307525437704,1307525452894,,task_201106081729_0001_m_000002,/default-rack/sr218;/default-rack/sr215;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138645432,13170
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138300993,13239,1307525434778,1307525446852,,task_201106081729_0001_m_000003,/default-rack/sr214;/default-rack/sr219;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,138652905,13239
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138303716,13248,1307525434779,1307525443827,,task_201106081729_0001_m_000004,/default-rack/sr214;/default-rack/sr221;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138656020,13248
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293123,13119,1307525437687,1307525454858,,task_201106081729_0001_m_000005,/default-rack/sr218;/default-rack/sr216;/default-rack/sr215, cluster="chukwa",SUCCESS,MAP,138642815,13119
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138299377,13175,1307525437704,1307525455923,,task_201106081729_0001_m_000006,/default-rack/sr218;/default-rack/sr215;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138649557,13175
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138296306,13232,1307525434779,1307525443829,,task_201106081729_0001_m_000007,/default-rack/sr214;/default-rack/sr217;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,138647762,13232
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138292255,13247,1307525434780,1307525443830,,task_201106081729_0001_m_000008,/default-rack/sr216;/default-rack/sr214;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138644071,13247
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138290617,13172,1307525434780,1307525466742,,task_201106081729_0001_m_000009,/default-rack/sr219;/default-rack/sr221;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,138641933,13172
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138306425,13085,1307525437660,1307525468296,,task_201106081729_0001_m_000010,/default-rack/sr216;/default-rack/sr219;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,138655245,13085
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138297004,13200,1307525437661,1307525458885,,task_201106081729_0001_m_000011,/default-rack/sr222;/default-rack/sr215;/default-rack/sr221, cluster="chukwa",SUCCESS,MAP,138648004,13200
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138298267,13163,1307525437688,1307525451620,,task_201106081729_0001_m_000012,/default-rack/sr217;/default-rack/sr219;/default-rack/sr216, cluster="chukwa",SUCCESS,MAP,138648011,13163
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293473,13158,1307525434781,1307525446853,,task_201106081729_0001_m_000013,/default-rack/sr219;/default-rack/sr214;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138643137,13158
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138286677,13161,1307525437695,1307525454617,,task_201106081729_0001_m_000014,/default-rack/sr218;/default-rack/sr217;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138636685,13161
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138298949,13183,1307525437688,1307525454859,,task_201106081729_0001_m_000015,/default-rack/sr215;/default-rack/sr216;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138649613,13183
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293654,13089,1307525437662,1307525455833,,task_201106081729_0001_m_000016,/default-rack/sr216;/default-rack/sr222;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138642286,13089
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295152,13078,1307525437662,1307525446767,,task_201106081729_0001_m_000017,/default-rack/sr218;/default-rack/sr222;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138643456,13078
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138297629,13191,1307525437696,1307525457642,,task_201106081729_0001_m_000018,/default-rack/sr218;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,138648617,13191
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293218,13162,1307525437689,1307525465472,,task_201106081729_0001_m_000019,/default-rack/sr216;/default-rack/sr215;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138643174,13162
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282791,13136,1307525434781,1307525446854,,task_201106081729_0001_m_000020,/default-rack/sr219;/default-rack/sr217;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,138632339,13136
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138298259,13177,1307525434782,1307525463712,,task_201106081729_0001_m_000021,/default-rack/sr222;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138648815,13177
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138296962,13217,1307525434782,1307525472771,,task_201106081729_0001_m_000022,/default-rack/sr214;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,138648478,13217
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282309,13094,1307525434783,1307525443831,,task_201106081729_0001_m_000023,/default-rack/sr219;/default-rack/sr221;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,138631561,13094
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138279858,13134,1307525437696,1307525457643,,task_201106081729_0001_m_000024,/default-rack/sr217;/default-rack/sr219;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138629610,13134
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282830,13168,1307525434783,1307525446855,,task_201106081729_0001_m_000025,/default-rack/sr214;/default-rack/sr215;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,138632414,13168
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138290774,13184,1307525434784,1307525446856,,task_201106081729_0001_m_000026,/default-rack/sr214;/default-rack/sr221;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,138641306,13184
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287578,13124,1307525437663,1307525446768,,task_201106081729_0001_m_000027,/default-rack/sr222;/default-rack/sr215;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138636550,13124
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287418,13072,1307525437663,1307525458885,,task_201106081729_0001_m_000028,/default-rack/sr216;/default-rack/sr221;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,138635334,13072
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283677,13165,1307525437664,1307525449792,,task_201106081729_0001_m_000029,/default-rack/sr216;/default-rack/sr222;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138634297,13165
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293172,13072,1307525434784,1307525446856,,task_201106081729_0001_m_000030,/default-rack/sr217;/default-rack/sr219;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,138640648,13072
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138278136,13214,1307525434785,1307525463712,,task_201106081729_0001_m_000031,/default-rack/sr215;/default-rack/sr214;/default-rack/sr216, cluster="chukwa",SUCCESS,MAP,138630488,13214
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283246,13110,1307525437664,1307525449793,,task_201106081729_0001_m_000032,/default-rack/sr222;/default-rack/sr217;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,138632706,13110
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295650,13082,1307525434786,1307525446857,,task_201106081729_0001_m_000033,/default-rack/sr214;/default-rack/sr221;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,138644366,13082
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287904,13214,1307525437689,1307525446781,,task_201106081729_0001_m_000034,/default-rack/sr216;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,138638936,13214
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138292598,13038,1307525437678,1307525464989,,task_201106081729_0001_m_000035,/default-rack/sr214;/default-rack/sr221;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,138640362,13038
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282495,13199,1307525437679,1307525449829,,task_201106081729_0001_m_000036,/default-rack/sr218;/default-rack/sr215;/default-rack/sr221, cluster="chukwa",SUCCESS,MAP,138633247,13199
