Local bytes written,Combine output records,COUNTERS,Combine input records,TRACKER_NAME,csource,capp,START_TIME,FINISH_TIME,HDFS bytes read,id,Reduce output records,ctags,TASK_STATUS,SHUFFLE_FINISHED,TASKID,SORT_FINISHED,Reduce input groups,STATE_STRING,Reduce input records
,0,1,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451635,1307526040185,,attempt_201106081729_0001_r_000000_0,255234, cluster="chukwa",SUCCESS,1307525674689,task_201106081729_0001_r_000000,1307525674720,255234,reduce > reduce,255234
,0,1,0,tracker_sr219:localhost\.localdomain/127\.0\.0\.1:38248,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451653,1307526029999,,attempt_201106081729_0001_r_000001_0,255512, cluster="chukwa",SUCCESS,1307525665432,task_201106081729_0001_r_000001,1307525665495,255512,reduce > reduce,255512
,0,1,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452021,1307526083356,,attempt_201106081729_0001_r_000002_0,256170, cluster="chukwa",SUCCESS,1307525662911,task_201106081729_0001_r_000002,1307525662951,256170,reduce > reduce,256170
,0,1,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525451741,1307526089201,,attempt_201106081729_0001_r_000003_0,255246, cluster="chukwa",SUCCESS,1307525693605,task_201106081729_0001_r_000003,1307525711127,255246,reduce > reduce,255246
,0,1,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452844,1307526064436,,attempt_201106081729_0001_r_000004_0,255549, cluster="chukwa",SUCCESS,1307525665812,task_201106081729_0001_r_000004,1307525665834,255549,reduce > reduce,255549
,0,1,0,tracker_sr218:localhost\.localdomain/127\.0\.0\.1:57512,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452862,1307525988736,,attempt_201106081729_0001_r_000005_0,255560, cluster="chukwa",SUCCESS,1307525665560,task_201106081729_0001_r_000005,1307525665599,255560,reduce > reduce,255560
,0,1,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452903,1307526085860,,attempt_201106081729_0001_r_000006_0,255508, cluster="chukwa",SUCCESS,1307525667890,task_201106081729_0001_r_000006,1307525667922,255508,reduce > reduce,255508
,0,1,0,tracker_sr215:localhost\.localdomain/127\.0\.0\.1:49202,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525452953,1307526050001,,attempt_201106081729_0001_r_000007_0,256059, cluster="chukwa",SUCCESS,1307525665537,task_201106081729_0001_r_000007,1307525665577,256059,reduce > reduce,256059
,0,1,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455450,1307525994423,,attempt_201106081729_0001_r_000008_0,254784, cluster="chukwa",SUCCESS,1307525674933,task_201106081729_0001_r_000008,1307525674943,254784,reduce > reduce,254784
,0,1,0,tracker_sr219:localhost\.localdomain/127\.0\.0\.1:38248,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,1307525455638,1307525768590,,attempt_201106081729_0001_r_000009_0,255848, cluster="chukwa",SUCCESS,1307525671175,task_201106081729_0001_r_000009,1307525671236,255848,reduce > reduce,255848
