Timestamp,%idle,%iowait,%nice,%steal,%system,%user,capp,csource,ctags
1307525433,96.10,0.00,0.00,0.00,0.42,3.47,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525438,98.88,0.00,0.00,0.00,0.09,1.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525443,99.13,0.00,0.00,0.00,0.09,0.79,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525448,99.59,0.00,0.00,0.00,0.04,0.37,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525453,99.16,0.00,0.00,0.00,0.07,0.76,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525458,99.44,0.00,0.00,0.00,0.06,0.50,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525463,99.63,0.00,0.00,0.00,0.04,0.34,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525468,99.41,0.00,0.00,0.00,0.10,0.49,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525473,99.64,0.00,0.00,0.00,0.07,0.29,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525478,99.64,0.00,0.00,0.00,0.07,0.29,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525483,99.83,0.00,0.00,0.00,0.02,0.15,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525488,99.00,0.00,0.00,0.00,0.10,0.90,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525493,99.78,0.00,0.00,0.00,0.05,0.17,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525498,99.41,0.00,0.00,0.00,0.10,0.49,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525503,99.75,0.00,0.00,0.00,0.06,0.19,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525508,99.68,0.00,0.00,0.00,0.02,0.30,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525513,99.84,0.00,0.00,0.00,0.06,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525518,99.75,0.00,0.00,0.00,0.01,0.24,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525523,99.81,0.00,0.00,0.00,0.05,0.14,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525528,99.69,0.00,0.00,0.00,0.04,0.27,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525533,99.74,0.00,0.00,0.00,0.02,0.24,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
