phase_end,host,phase_count,breakdown_count,phase_start,phase_name,phase_stack,attempt_id,breakdown_name,thread_name,breakdown_type,thread_id,job_id
1307526086146,sr216,13962,0,1307525727066,Reduce,org.apache.hadoop.mapred.ReduceTask.run(New|Old)Reducer,attempt_201106081729_0001_r_000003_0,NEW,"main",state,1,job_201106081729_0001
1307525662950,sr214,2,0,1307525662926,Sort,ReduceCopier.createKVIterator,attempt_201106081729_0001_r_000002_0,NEW,"main",state,1,job_201106081729_0001
1307525674688,sr217,8702,0,1307525452731,Shuffle,ReduceCopier.fetchOutputs,attempt_201106081729_0001_r_000000_0,NEW,"main",state,1,job_201106081729_0001
1307525674688,sr217,34804,0,1307525452759,Copier,org.apache.hadoop.mapred.ReduceTask\$ReduceCopier\$MapOutputCopier.run,attempt_201106081729_0001_r_000000_0,org.apache.hadoop.mapred.ReduceTask\$ReduceCopier\$ShuffleRamManager.reserve,"MapOutputCopier attempt_201106081729_0001_r_000000_0.0",function,24,job_201106081729_0001
1307525662902,sr214,32760,1193,1307525452891,Copier,org.apache.hadoop.mapred.ReduceTask\$ReduceCopier\$MapOutputCopier.run,attempt_201106081729_0001_r_000002_0,org.apache.hadoop.mapred.ReduceTask\$ReduceCopier\$ShuffleRamManager.reserve,"MapOutputCopier attempt_201106081729_0001_r_000002_0.2",function,26,job_201106081729_0001
1307525665415,sr219,8235,0,1307525452501,FSMerge,LocalFSMerger.run,attempt_201106081729_0001_r_000001_0,NEW,"Thread for merging on-disk files",state,28,job_201106081729_0001
1307526061392,sr222,16460,0,1307525665858,Reduce,org.apache.hadoop.mapred.ReduceTask.run(New|Old)Reducer,attempt_201106081729_0001_r_000004_0,NEW,"main",state,1,job_201106081729_0001
1307525665415,sr219,8236,0,1307525452477,Shuffle,ReduceCopier.fetchOutputs,attempt_201106081729_0001_r_000001_0,NEW,"main",state,1,job_201106081729_0001
1307525674688,sr217,8701,0,1307525452759,FSMerge,LocalFSMerger.run,attempt_201106081729_0001_r_000000_0,NEW,"Thread for merging on-disk files",state,28,job_201106081729_0001
1307525669082,sr216,3001,0,1307525470607,FSMerge,LocalFSMerger.run,attempt_201106081729_0001_r_000029_0,NEW,"Thread for merging on-disk files",state,28,job_201106081729_0001
1307526026948,sr219,15035,0,1307525665511,Reduce,org.apache.hadoop.mapred.ReduceTask.run(New|Old)Reducer,attempt_201106081729_0001_r_000001_0,NEW,"main",state,1,job_201106081729_0001
