Timestamp,capp,category,csource,ctags,gcCount,gcTimeMillis,hostName,memHeapCommittedM,memHeapUsedM,memNonHeapCommittedM,memNonHeapUsedM,processName,threadsBlocked,threadsNew,threadsRunnable,threadsTerminated,threadsTimedWaiting,threadsWaiting
1307525432,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",6,24,sr212,30.9375,17.066528,23.1875,16.132523,NameNode,0,0,6,0,10,43
1307525436,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.5835266,23.1875,14.350815,SecondaryNameNode,0,0,5,0,3,2
1307525437,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",7,52,sr212,30.5,9.627083,23.1875,18.004723,JobTracker,0,0,7,0,9,16
1307525442,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",6,24,sr212,30.9375,27.874382,23.1875,16.267006,NameNode,0,0,6,0,10,43
1307525446,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.5835266,23.1875,14.350815,SecondaryNameNode,0,0,5,0,3,2
1307525447,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",7,52,sr212,30.5,13.690842,23.1875,18.035942,JobTracker,0,0,7,0,8,16
1307525452,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",7,29,sr212,31,11.463806,23.1875,16.349396,NameNode,0,0,6,0,10,43
1307525456,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",4,25,sr212,17.6875,6.5835266,23.1875,14.352669,SecondaryNameNode,0,0,5,0,3,2
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",7,52,sr212,30.5,26.160034,23.1875,18.185959,JobTracker,0,0,8,0,9,16
1307525462,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",7,29,sr212,31,18.828835,23.1875,16.422058,NameNode,0,0,6,0,10,43
