Timestamp,capp,category,csource,ctags,hostName,shuffle_failed_outputs,shuffle_handler_busy_percent,shuffle_output_bytes,shuffle_success_outputs
1307525439,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,0,0
1307525449,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,0,0
1307525459,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,50,83709970,0
1307525469,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,25,625138567,140
1307525479,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,72.5,1280682180,297
1307525489,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,75,1906137157,420
1307525499,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,15.000001,2932790775,685
1307525509,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,62.5,3781966997,871
1307525519,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,27.5,4310851287,1009
1307525529,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,55,5065196539,1179
1307525539,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,97.5,5363155927,1226
1307525549,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,15.000001,5640412549,1330
1307525559,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,40,5921240883,1390
1307525569,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,25,6584970599,1552
1307525579,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,27.5,7008863542,1654
1307525589,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,27.5,7835352971,1850
1307525599,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,27.5,8640262286,2042
1307525609,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,20,9466920693,2240
1307525619,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,7.5000005,10225178414,2423
1307525629,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,10,10540985385,2498
1307525639,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10683951937,2535
1307525649,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,5,10697906279,2537
1307525659,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,7.5000005,10713367089,2540
1307525669,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,7.5000005,10842307501,2571
1307525679,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,5,10876398963,2580
1307525689,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,2.5,10904304190,2587
1307525699,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525709,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525719,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525729,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525739,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525749,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525759,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525769,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525779,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525789,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525799,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525809,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525819,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525829,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525839,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525849,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525859,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525869,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525879,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525889,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525899,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525909,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525919,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525929,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525939,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525949,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525959,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525969,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525979,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525989,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525999,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526009,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526019,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526029,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
