Timestamp,%commit,%memused,%swpcad,%swpused,%vmeff,capp,csource,ctags,fault/s,kbbuffers,kbcached,kbcommit,kbmemfree,kbmemused,kbswpcad,kbswpfree,kbswpused,majflt/s,pgfree/s,pgpgin/s,pgpgout/s,pgscand/s,pgscank/s,pgsteal/s
1307525433,4.44,6.81,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",4780.04,327292,837248,1189280,23051500,1684000,0,2048276,0,0.40,931.74,0.00,15.97,0.00,0.00,0.00
1307525438,4.51,6.93,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",9081.40,327296,838236,1207364,23022336,1713164,0,2048276,0,0.40,2518.80,0.00,110.40,0.00,0.00,0.00
1307525443,4.63,6.98,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",1613.37,327324,838244,1238820,23007864,1727636,0,2048276,0,0.00,387.43,0.00,59.88,0.00,0.00,0.00
1307525448,4.63,7.02,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",546.20,327328,838320,1238820,22998760,1736740,0,2048276,0,0.00,60.60,0.00,16.00,0.00,0.00,0.00
1307525453,4.72,7.03,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",295.41,327328,838372,1263936,22996000,1739500,0,2048276,0,0.00,84.23,0.00,18.36,0.00,0.00,0.00
1307525458,4.72,7.05,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",475.80,327336,838432,1265304,22991516,1743984,0,2048276,0,0.00,173.00,0.00,10.40,0.00,0.00,0.00
1307525463,4.72,7.07,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",230.20,327336,838540,1265012,22987724,1747776,0,2048276,0,0.00,98.00,0.00,17.60,0.00,0.00,0.00
1307525468,4.80,7.09,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",671.66,327336,838644,1284348,22981204,1754296,0,2048276,0,0.00,53.89,0.00,194.81,0.00,0.00,0.00
1307525473,4.80,7.10,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",198.60,327336,838776,1284348,22979532,1755968,0,2048276,0,0.00,98.20,0.00,81.60,0.00,0.00,0.00
1307525478,4.80,7.11,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",126.95,327340,838916,1284348,22976908,1758592,0,2048276,0,0.00,65.67,0.00,19.16,0.00,0.00,0.00
1307525483,4.80,7.13,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",301.00,327348,839020,1284348,22972532,1762968,0,2048276,0,0.00,82.20,0.00,16.80,0.00,0.00,0.00
1307525488,4.80,7.14,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",145.11,327352,839056,1284348,22969752,1765748,0,2048276,0,0.00,48.70,0.00,23.95,0.00,0.00,0.00
1307525493,4.80,7.18,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",597.40,327352,839184,1285360,22958844,1776656,0,2048276,0,0.00,114.40,0.00,13.60,0.00,0.00,0.00
1307525498,4.80,7.20,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",218.60,327360,839244,1285360,22955032,1780468,0,2048276,0,0.00,44.40,0.00,20.80,0.00,0.00,0.00
1307525503,4.80,7.23,0.00,0.00,0.00,results from /usr/local/bin/sar -rSB 5 |awk '{if($0 && !/Linux/){if($0){$1="";$2="";if(/pgpgin/)now=strftime("%s ");if(NR>3 && NR%9==3){print now header"\n" now val;header=""; val=""};if(NR%3==0) {header=header" "$0;}; if(NR%3==1) val=val" "$0; }}}',sr212, cluster="chukwa",473.60,327360,839384,1285360,22946244,1789256,0,2048276,0,0.00,87.00,0.00,106.40,0.00,0.00,0.00
