Timestamp,capp,csource,ctags,device,rxkB/s,rxpck/s,txkB/s,txpck/s
1307525433,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,69.39,56.20,69.39,56.20
1307525433,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.57,6.80,0.00,0.00
1307525433,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,60.54,124.80,94.01,121.00
1307525433,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525438,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,0.77,5.99,0.77,5.99
1307525438,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.88,10.78,2.31,3.99
1307525438,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,13.51,104.39,73.67,96.21
1307525438,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525443,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,0.86,8.40,0.86,8.40
1307525443,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525443,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,34.83,296.00,132.67,254.60
1307525443,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.10,5.80,0.00,0.00
1307525448,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,19.76,106.00,34.22,77.80
1307525448,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525448,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.29,6.00,1.29,6.00
1307525448,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.46,6.60,0.00,0.00
1307525453,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,31.99,245.51,80.23,177.45
1307525453,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525453,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,7.30,14.17,7.30,14.17
1307525453,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.50,8.58,0.00,0.00
1307525458,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.15,7.80,0.00,0.00
1307525458,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,5.03,11.00,5.03,11.00
1307525458,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525458,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,30.74,214.00,99.06,183.80
1307525463,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.84,5.99,1.84,5.99
1307525463,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.45,6.59,0.00,0.00
1307525463,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,26.95,177.84,80.86,147.90
1307525463,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525468,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.88,6.60,1.88,6.60
1307525468,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,1.65,5.20,0.00,0.00
1307525468,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,37.56,227.20,117.45,194.00
1307525468,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525473,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,2.28,5.99,2.28,5.99
1307525473,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.10,5.79,0.00,0.00
1307525473,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,33.80,237.92,105.67,197.80
1307525473,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525478,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.04,7.80,0.00,0.00
1307525478,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,30.45,205.00,105.40,177.40
