Timestamp,capp,category,csource,ctags,hostName,mapTaskSlots,maps_running,reduceTaskSlots,reduces_running,tasks_completed
1307525439,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,0,1
1307525449,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,0,13
1307525459,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,1,13
1307525469,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,3,28
1307525479,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,34
1307525489,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,45
1307525499,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,52
1307525510,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,52
1307525519,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,56
1307525531,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,63
1307525540,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,16,10,4,63
1307525549,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,9,10,4,71
1307525559,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,10,10,4,71
1307525569,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,6,10,4,78
1307525579,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,6,10,4,78
1307525589,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,1,10,4,84
1307525599,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,1,10,4,84
1307525609,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525619,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525629,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525639,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525649,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525659,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525669,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525679,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525689,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525699,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525709,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525719,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525729,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
